Name;Location;Open Year-Round;Handicap Accessible;Borough;Comments;Latitude;Longitude;SUFFIX;POP100;GEOID;CENTLAT;BLOCK;AREAWATER;STATE;BASENAME;OID;LSADC;INTPTLAT;FUNCSTAT;NAME;OBJECTID;TRACT;CENTLON;BLKGRP;AREALAND;HU100;INTPTLON;MTFCC;LWBLKTYP;UR;COUNTY;SUFFIX;POP100;GEOID;CENTLAT;BLOCK;AREAWATER;STATE;BASENAME;OID;LSADC;INTPTLAT;FUNCSTAT;NAME;OBJECTID;TRACT;CENTLON;BLKGRP;AREALAND;HU100;INTPTLON;MTFCC;LWBLKTYP;UR;COUNTY;GEOID;STATE;COUNTY;TRACT;BLOCK;
100% Playground;Glenwood Road, East 100 & East 101 streets;Yes;;Brooklyn;;40.646.908;-73.899.467;;0;360470974002002;406.461.352;2002;0;36;2002;2,10701E+14;BK;406.461.352;S;Block 2002;4712733;97400;-738.987.935;2;16992;0;-738.987.935;G5040;L;U;47;;0;3,60471E+14;406.461.352;2002;0;36;2002;2,10701E+14;BK;406.461.352;S;Block 2002;4712733;97400;-738.987.935;2;16992;0;-738.987.935;G5040;L;U;47;3,60471E+14;36;47;97400;2002;
174th Street Playground;East 174 Street, Stratford Avenue, Bronx River Avenue;Yes;;Bronx;;40.833.885;-738.765.962;;1898;360050062003000;408.347.905;3000;0;36;3000;2,10701E+14;BK;408.347.905;S;Block 3000;2133244;6200;-738.759.740;3;36136;698;-738.759.740;G5040;L;U;5;;1898;3,6005E+14;408.347.905;3000;0;36;3000;2,10701E+14;BK;408.347.905;S;Block 3000;2133244;6200;-738.759.740;3;36136;698;-738.759.740;G5040;L;U;5;3,6005E+14;36;5;6200;3000;
227 Street Playground;Bronx Boulevard between East 226 and East 228 streets;Yes;Yes;Bronx;;40.888.553;-738.550.125;;318;360050406001001;408.881.978;1001;0;36;1001;2,10701E+14;BK;408.881.978;S;Block 1001;1629285;40600;-738.551.750;1;22335;139;-738.551.750;G5040;L;U;5;;318;3,6005E+14;408.881.978;1001;0;36;1001;2,10701E+14;BK;408.881.978;S;Block 1001;1629285;40600;-738.551.750;1;22335;139;-738.551.750;G5040;L;U;5;3,6005E+14;36;5;40600;1001;
Abe Lincoln;East 135 Street, between Madison & 5 avenues;Yes;;Manhattan;;407.830.603;-739.712.488;;1398;360610169006000;407.836.216;6000;0;36;6000;2,10701E+14;BK;407.836.216;S;Block 6000;2183960;16900;-739.724.099;6;22078;845;-739.724.099;G5040;L;U;61;;1398;3,6061E+14;407.836.216;6000;0;36;6000;2,10701E+14;BK;407.836.216;S;Block 6000;2183960;16900;-739.724.099;6;22078;845;-739.724.099;G5040;L;U;61;3,6061E+14;36;61;16900;6000;
Abigail Playground;East 156 Street, Tinton Avenue;No;;Bronx;;408.178.797;-7.390.500.569.999.990;;133;360050079001001;408.180.805;1001;0;36;1001;2,10701E+14;BK;408.180.805;S;Block 1001;3310817;7900;-739.041.228;1;9480;40;-739.041.228;G5040;L;U;5;;133;3,6005E+14;408.180.805;1001;0;36;1001;2,10701E+14;BK;408.180.805;S;Block 1001;3310817;7900;-739.041.228;1;9480;40;-739.041.228;G5040;L;U;5;3,6005E+14;36;5;7900;1001;
Agnes Haywood Playground;East 215 Street, Barnes Avenue, East 216 Street;Yes;;Bronx;;408.805.551;-738.611.145;;553;360050390002002;408.813.516;2002;0;36;2002;2,10701E+14;BK;408.813.516;S;Block 2002;2138507;39000;-738.623.398;2;22524;172;-738.623.398;G5040;L;U;5;;553;3,6005E+14;408.813.516;2002;0;36;2002;2,10701E+14;BK;408.813.516;S;Block 2002;2138507;39000;-738.623.398;2;22524;172;-738.623.398;G5040;L;U;5;3,6005E+14;36;5;39000;2002;
Albemarle Park;Albermarle Road & Dahill Road;Yes;Yes;Brooklyn;;4.064.500.899.999.990;-739.809.193;;788;360470498002002;406.447.578;2002;0;36;2002;2,10701E+14;BK;406.447.578;S;Block 2002;6083448;49800;-739.825.843;2;24310;358;-739.825.843;G5040;L;U;47;;788;3,6047E+14;406.447.578;2002;0;36;2002;2,10701E+14;BK;406.447.578;S;Block 2002;6083448;49800;-739.825.843;2;24310;358;-739.825.843;G5040;L;U;47;3,6047E+14;36;47;49800;2002;
Albert J. Parham Playground;Adelphi Street, Clermont, DeKalb & Willoughby avenues;Yes;Yes;Brooklyn;;406.781.784;-739.441.579;;0;360470313004000;406.782.744;4000;0;36;4000;2,10701E+14;BK;406.782.744;S;Block 4000;4610831;31300;-739.455.015;4;2013;0;-739.455.015;G5040;L;U;47;;0;3,6047E+14;406.782.744;4000;0;36;4000;2,10701E+14;BK;406.782.744;S;Block 4000;4610831;31300;-739.455.015;4;2013;0;-739.455.015;G5040;L;U;47;3,6047E+14;36;47;31300;4000;
Alexander Hamilton Playground;Hamilton Place, West 140 to West 141 streets;Yes;;Manhattan;;408.206.197;-739.445.379;;567;360610259002003;408.208.839;2003;0;36;2003;2,10701E+14;BK;408.208.839;S;Block 2003;2838528;25900;-739.442.180;2;10187;250;-739.442.180;G5040;L;U;61;;567;3,6061E+14;408.208.839;2003;0;36;2003;2,10701E+14;BK;408.208.839;S;Block 2003;2838528;25900;-739.442.180;2;10187;250;-739.442.180;G5040;L;U;61;3,6061E+14;36;61;25900;2003;
Alfred E. Smith Park;Catherine Slip, Madison & South streets;Yes;;Manhattan;;407.096.735;-739.970.539;;820;360610025003000;407.093.908;3000;0;36;3000;2,10701E+14;BK;407.093.908;S;Block 3000;2885719;2500;-739.976.887;3;17623;336;-739.976.887;G5040;L;U;61;;820;3,6061E+14;407.093.908;3000;0;36;3000;2,10701E+14;BK;407.093.908;S;Block 3000;2885719;2500;-739.976.887;3;17623;336;-739.976.887;G5040;L;U;61;3,6061E+14;36;61;2500;3000;
Alice Kornegay Triangle;Lexington Avenue, East 128 & East 129 streets;Yes;;Manhattan;;408.063.049;-739.360.262;;488;360610242001006;408.069.470;1006;0;36;1006;2,10701E+14;BK;408.069.470;S;Block 1006;2688139;24200;-739.365.991;1;12345;193;-739.365.991;G5040;L;U;61;;488;3,6061E+14;408.069.470;1006;0;36;1006;2,10701E+14;BK;408.069.470;S;Block 1006;2688139;24200;-739.365.991;1;12345;193;-739.365.991;G5040;L;U;61;3,6061E+14;36;61;24200;1006;
Allerton Playground;Anrow Avenue, Bouck Avenue, Throop Avenue, Streetedman Place, Allerton Avenue;Yes;;Bronx;;408.646.021;-738.501.102;;164;360050318001004;408.637.259;1004;0;36;1004;2,10701E+14;BK;408.637.259;S;Block 1004;1337765;31800;-738.509.032;1;13034;67;-738.509.032;G5040;L;U;5;;164;3,6005E+14;408.637.259;1004;0;36;1004;2,10701E+14;BK;408.637.259;S;Block 1004;1337765;31800;-738.509.032;1;13034;67;-738.509.032;G5040;L;U;5;3,6005E+14;36;5;31800;1004;
Alley Park (PS 213);67 Avenue & 230 Street;Yes;;Queens;;407.474.777;-7.374.679.549.999.990;;199;360811377003008;407.483.835;3008;0;36;3008;2,10701E+14;BK;407.483.835;S;Block 3008;1392478;137700;-737.477.112;3;19357;56;-737.477.112;G5040;L;U;81;;199;3,60811E+14;407.483.835;3008;0;36;3008;2,10701E+14;BK;407.483.835;S;Block 3008;1392478;137700;-737.477.112;3;19357;56;-737.477.112;G5040;L;U;81;3,60811E+14;36;81;137700;3008;
Alley Pond Park;Entrance off Grand Central Parkway, includes athletic fields and picnic areas;Yes;;Queens;;407.288.021;-737.724.884;;0;360811283001016;407.279.473;1016;0;36;1016;2,10701E+14;BK;407.279.473;S;Block 1016;386559;128300;-737.725.088;1;484818;0;-737.725.088;G5040;L;U;81;;0;3,60811E+14;407.279.473;1016;0;36;1016;2,10701E+14;BK;407.279.473;S;Block 1016;386559;128300;-737.725.088;1;484818;0;-737.725.088;G5040;L;U;81;3,60811E+14;36;81;128300;1016;
Alley Pond Park (Alley Athletic Field);Grand Central Parkway, Winchester Boulevard, &Union Turnpike;Yes;;Queens;;407.389.383;-737.338.075;;0;360811567001008;407.395.521;1008;0;36;1008;2,10701E+14;BK;407.395.521;S;Block 1008;1739206;156700;-737.365.088;1;191680;0;-737.365.088;G5040;L;U;81;;0;3,60812E+14;407.395.521;1008;0;36;1008;2,10701E+14;BK;407.395.521;S;Block 1008;1739206;156700;-737.365.088;1;191680;0;-737.365.088;G5040;L;U;81;3,60812E+14;36;81;156700;1008;
Alley Pond Park (Alley Pond Spring);Springfield Boulevard, 73rd Avenue, 76th Avenue to tree line & natural area;Yes;;Queens;;407.424.131;-7.375.347.339.999.990;;142;360811377004008;407.430.725;4008;0;36;4008;2,10701E+14;BK;407.430.725;S;Block 4008;1842064;137700;-737.532.620;4;10867;44;-737.532.620;G5040;L;U;81;;142;3,60811E+14;407.430.725;4008;0;36;4008;2,10701E+14;BK;407.430.725;S;Block 4008;1842064;137700;-737.532.620;4;10867;44;-737.532.620;G5040;L;U;81;3,60811E+14;36;81;137700;4008;
Alley Pond Park (Horatio Playground);Horatio Parkway and 50 Avenue;Yes;;Queens;;40.758.242;-737.531.759;;72;360811385011001;407.580.246;1001;0;36;1001;2,10701E+14;BK;407.580.246;S;Block 1001;2642711;138501;-737.516.532;1;20069;29;-737.516.532;G5040;L;U;81;;72;3,60811E+14;407.580.246;1001;0;36;1001;2,10701E+14;BK;407.580.246;S;Block 1001;2642711;138501;-737.516.532;1;20069;29;-737.516.532;G5040;L;U;81;3,60811E+14;36;81;138501;1001;
Alstyne Playground;Alystine Avenue & 102 Street;Yes;;Queens;;407.435.603;-738.616.416;;329;360810413001001;407.438.509;1001;0;36;1001;2,10701E+14;BK;407.438.509;S;Block 1001;1739255;41300;-738.608.666;1;12787;93;-738.608.666;G5040;L;U;81;;329;3,6081E+14;407.438.509;1001;0;36;1001;2,10701E+14;BK;407.438.509;S;Block 1001;1739255;41300;-738.608.666;1;12787;93;-738.608.666;G5040;L;U;81;3,6081E+14;36;81;41300;1001;
American Playground;Noble, Franklin Milton Streets;Yes;Yes;Brooklyn;;407.291.647;-73.957.469;;480;360470565001006;407.289.836;1006;0;36;1006;2,10701E+14;BK;407.289.836;S;Block 1006;5615191;56500;-739.556.169;1;24340;254;-739.556.169;G5040;L;U;47;;480;3,60471E+14;407.289.836;1006;0;36;1006;2,10701E+14;BK;407.289.836;S;Block 1006;5615191;56500;-739.556.169;1;24340;254;-739.556.169;G5040;L;U;47;3,60471E+14;36;47;56500;1006;
Ampere Playground (PS 64);101 Avenue & 82 Street;Yes;;Queens;;4.068.113.230.000.000;-738.570.474;;430;360810042001006;406.818.411;1006;0;36;1006;2,10701E+14;BK;406.818.411;S;Block 1006;2941691;4200;-738.578.857;1;15484;122;-738.578.857;G5040;L;U;81;;430;3,6081E+14;406.818.411;1006;0;36;1006;2,10701E+14;BK;406.818.411;S;Block 1006;2941691;4200;-738.578.857;1;15484;122;-738.578.857;G5040;L;U;81;3,6081E+14;36;81;4200;1006;
Andrews Playground;49 Avenue, Vernon Boulevard, 5 Street;No;;Queens;;40.743.407;-7.395.437.390.000.000;;145;360810007011002;407.433.000;1002;0;36;1002;2,10701E+14;BK;407.433.000;S;Block 1002;1272139;701;-739.551.571;1;16119;87;-739.551.571;G5040;L;U;81;;145;3,6081E+14;407.433.000;1002;0;36;1002;2,10701E+14;BK;407.433.000;S;Block 1002;1272139;701;-739.551.571;1;16119;87;-739.551.571;G5040;L;U;81;3,6081E+14;36;81;701;1002;
Annandale Playground (PS 175);Yellowstone Boulevard, 65 Road, 65 Avenue;Yes;Yes;Queens;;407.298.433;-738.507.037;;127;360810721005002;407.297.601;5002;0;36;5002;2,10701E+14;BK;407.297.601;S;Block 5002;2011307;72100;-738.514.522;5;10794;44;-738.514.522;G5040;L;U;81;;127;3,60811E+14;407.297.601;5002;0;36;5002;2,10701E+14;BK;407.297.601;S;Block 5002;2011307;72100;-738.514.522;5;10794;44;-738.514.522;G5040;L;U;81;3,60811E+14;36;81;72100;5002;
Annunciation Park;Convent and Amsterdam Av, W 135 St;;Yes;Manhattan;;4.081.931.700.000.000;-73.951.843;;1;360610217031004;408.202.212;1004;0;36;1004;2,10701E+14;BK;408.202.212;S;Block 1004;3707914;21703;-739.503.691;1;52819;1;-739.503.691;G5040;L;U;61;;1;3,6061E+14;408.202.212;1004;0;36;1004;2,10701E+14;BK;408.202.212;S;Block 1004;3707914;21703;-739.503.691;1;52819;1;-739.503.691;G5040;L;U;61;3,6061E+14;36;61;21703;1004;
Arcilla Playground;Teller Avenue, Park Avenue, Clay Avenue, East 64 Street;Yes;Yes;Bronx;;408.299.454;-739.131.128;;756;360050175005000;408.304.508;5000;0;36;5000;2,10701E+14;BK;408.304.508;S;Block 5000;1766881;17500;-739.131.946;5;11796;250;-739.131.946;G5040;L;U;5;;756;3,6005E+14;408.304.508;5000;0;36;5000;2,10701E+14;BK;408.304.508;S;Block 5000;1766881;17500;-739.131.946;5;11796;250;-739.131.946;G5040;L;U;5;3,6005E+14;36;5;17500;5000;
Arrochar Playground;Sand Lane, Major Avenue, McFarland Avenue;Yes;Yes;Staten Island;;405.978.211;-740.717.897;;131;360850020021018;405.998.731;1018;0;36;1018;2,10701E+14;BK;405.998.731;S;Block 1018;5407966;2002;-740.703.251;1;113374;30;-740.703.251;G5040;L;U;85;;131;3,6085E+14;405.998.731;1018;0;36;1018;2,10701E+14;BK;405.998.731;S;Block 1018;5407966;2002;-740.703.251;1;113374;30;-740.703.251;G5040;L;U;85;3,6085E+14;36;85;2002;1018;
Arrow Community Garden;35th Street, between 35th and 36th Avenue;Yes;;Queens;;407.550.919;-7.392.656.649.999.990;;844;360810057003001;407.560.452;3001;0;36;3001;2,10701E+14;BK;407.560.452;S;Block 3001;3498553;5700;-739.263.269;3;15967;371;-739.263.269;G5040;L;U;81;;844;3,6081E+14;407.560.452;3001;0;36;3001;2,10701E+14;BK;407.560.452;S;Block 3001;3498553;5700;-739.263.269;3;15967;371;-739.263.269;G5040;L;U;81;3,6081E+14;36;81;5700;3001;
